title,abstract,year,venue,publisher,url,authors,contribution type,annotator,citation style,citation modality,citation visibility,citation term,task name,evidence level,citation frequency,multilinguality,parametric,non-parametric,prompting,pre-training,fine-tuning,task,dataset,evaluation
KG-CTG: Citation Generation Through Knowledge Graph-Guided Large Language Models,"Citation Text Generation (CTG) is a task in natural language processing (NLP) that aims to produce text that accurately cites or references a cited document within a source document. In CTG, the generated text draws upon contextual cues from both the source document and the cited paper, ensuring accurate and relevant citation information is provided. Previous work in the field of citation generation is mainly based on the text summarization of documents. Following this, this paper presents a framework, and a comparative study to demonstrate the use of Large Language Models (LLMs) for the task of citation generation. Also, we have shown the improvement in the results of citation generation by incorporating the knowledge graph relations of the papers in the prompt for the LLM to better learn the relationship between the papers. To assess how well our model is performing, we have used a subset of standard S2ORC dataset, which only consists of computer science academic research papers in the English Language. Vicuna performs best for this task with 14.15 Meteor, 12.88 Rouge-1, 1.52 Rouge-2, and 10.94 Rouge-L. Also, Alpaca performs best, and improves the performance by 36.98% in Rouge-1, and 33.14% in Meteor by including knowledge graphs.",2023,Big Data and Artificial Intelligence,Springer,http://link.springer.com/chapter/10.1007/978-3-031-49601-1_3,"Avinash Anand, Mohit Gupta, Kritarth Prasad, Ujjwal Goel, Naman Lal, Astha Verma, Rajiv Ratn Shah",approach,A,citation report,text,final response,citation,citation text generation,document,single,no,no,in-context,zero-shot,no,supervised fine-tuning,citation text generation,S2ORC,"METEOR, ROUGE-N, ROUGE-L"
Context-Enhanced Language Models for Generating Multi-paper Citations,"Citation text plays a pivotal role in elucidating the connection between scientific documents, demanding an in-depth comprehension of the cited paper. Constructing citations is often time-consuming, requiring researchers to delve into extensive literature and grapple with articulating relevant content. To address this challenge, the field of citation text generation (CTG) has emerged. However, while earlier methods have primarily centered on creating single-sentence citations, practical scenarios frequently necessitate citing multiple papers within a single paragraph. To bridge this gap, we propose a method that leverages Large Language Models (LLMs) to generate multi-citation sentences. Our approach involves a single source paper and a collection of target papers, culminating in a coherent paragraph containing multi-sentence citation text. Furthermore, we introduce a curated dataset named MCG-S2ORC, composed of English-language academic research papers in Computer Science, showcasing multiple citation instances. In our experiments, we evaluate three LLMs LLaMA, Alpaca, and Vicuna to ascertain the most effective model for this endeavor. Additionally, we exhibit enhanced performance by integrating knowledge graphs from target papers into the prompts for generating citation text. This research underscores the potential of harnessing LLMs for citation generation, opening a compelling avenue for exploring the intricate connections between scientific documents.",2023,Big Data and Artificial Intelligence,Springer,http://link.springer.com/chapter/10.1007/978-3-031-49601-1_6,"Avinash Anand, Kritarth Prasad, Ujjwal Goel, Mohit Gupta, Naman Lal, Astha Verma, Rajiv Ratn Shah","resource, approach",A,citation report,text,final response,"citation, attribution",citation text generation,document,multiple,no,no,in-context,zero-shot,no,supervised fine-tuning,citation text generation,MCG-S2ORC,"METEOR, ROUGE-N, ROUGE-L"
On the Capacity of Citation Generation by Large Language Models,"Retrieval-augmented generation (RAG) appears as a promising method to alleviate the “hallucination” problem in large language models (LLMs), since it can incorporate external traceable resources for response generation. The essence of RAG in combating the hallucination issue lies in accurately attributing claims in responses to the corresponding retrieved documents. However, most of existing works focus on improving the quality of generated responses from the LLM, while largely overlooked its ability to attribute sources accurately. In this study, we conduct a systematic analysis about the capabilities of LLMs in generating citations within response generation, and further introduce a novel method to enhance their citation generation abilities. Specifically, we evaluate both the correctness and citation quality for seven widely-used LLMs on two benchmark datasets. Meanwhile, we introduce new citation evaluation metrics to eliminate the over-penalization of unnecessary and excessive citations in existing metrics. Furthermore, we propose a Generate-then-Refine method that completes relevant citations and removes irrelevant ones without altering the response text. The results on WebGLM-QA, ASQA and ELI5 datasets show that our method substantially improves the quality of citations in responses generated by LLMs.",2025,Information Retrieval,Springer,http://link.springer.com/chapter/10.1007/978-981-96-1710-4_9,"Haosheng Qian, Yixing Fan, Ruqing Zhang, Jiafeng Guo","approach, evaluation",A,no,text,final response,"citation, attribution, quote",citation generation,paragraph,multiple,no,no,"post-retrieval, post-generation",few-shot,no,supervised fine-tuning,question answering,"WebGLM-QA, ASQA, ELI5","Citation Recall NLI, Citation Precision NLI, Citation F1 NLI, BLEU-N, ROUGE-L, Citation Recall GPT, Citation Precision GPT, Citation F1 GPT"
Enhancing LLM’s Reliability by Iterative Verification Attributions with Keyword Fronting,"Retrieval-augmented text generation attribution is of great significance for knowledge-intensive tasks as it can enhance the credibility and verifiability of large language models (LLMs). However, existing research often ignores the adverse effect of “Middle Loss” in lengthy input contexts on answer correctness, and the potential negative impact of unverified citations on the quality of attribution. To address these challenges, we propose a framework IVAKF ( I terative V erified A ttribution with K eyword F ronting), which better utilizes long context information and integrates attribution verification throughout the whole process of response generation. Specifically, for the “Middle Loss” issue, we employ a keyword fronting strategy with Named Entity Recognition (NER), guiding the model’s attention to focus on key entities and their relationship with other parts. As for the issue of poor attribution quality, we design a verification-based iterative optimization algorithm, which continuously updates candidate statements and citations until it produces a satisfactory output result. Experiments on three public knowledge-intensive datasets demonstrate that the proposed framework significantly improves the quality of the final response. It improved answer correctness by 6.4%, and citation quality by 9.1% than the baselines.",2024,Machine Learning and Knowledge Discovery in Databases. Research Track,Springer,http://link.springer.com/chapter/10.1007/978-3-031-70365-2_15,"Yize Sui, Jing Ren, Huibin Tan, Huan Chen, Zhaoye Li, Ji Wang",approach,B,in-line citations,text,final response,attribution,no,paragraph,multiple,no,no,post-retrieval,few-shot,no,no,question answering,"ASQA, ELI5, NaturalQuestions","EM, EM Recall, Claim Recall, Citation Precision NLI, Citation Recall NLI, Citation F1 NLI"
Evaluating and Improving Graph to Text Generation with Large Language Models,"Large language models (LLMs) have demonstrated immense potential across various tasks. However, research for exploring and improving the capabilities of LLMs in interpreting graph structures remains limited. To address this gap, we conduct a comprehensive evaluation of prompting current open-source LLMs on graph-to-text generation tasks. Although we explored the optimal prompting strategies and proposed a novel and effective diversity-difficulty-based few-shot sample selection method, we found that the improvements from tuning-free approaches were incremental, as LLMs struggle with planning on complex graphs, particularly those with a larger number of triples. To further improve LLMs in planning with graph sequences and grounding in truth, we introduce a new graph-to-text dataset, PlanGTG, annotated with two sub-tasks: reordering and attribution. Through extensive automatic and human evaluations, we demonstrate significant improvements in the quality of generated text from both few-shot learning and fine-tuning perspectives using the PlanGTG dataset. Our study paves the way for new research directions in graph-to-text generation.",2025,naacl,ACL,https://aclanthology.org/2025.naacl-long.513/,"Jie He,  Yijun Yang,  Wanqiu Long,  Deyi Xiong,  Victor Gutierrez Basulto, 
  Jeff Z. Pan","approach, resource",B,in-line citations,graph,final response,attribution,no,triple,single,no,no,in-context,"zero-shot, few-shot",no,supervised fine-tuning,graph-to-text generation,"PlanGTG, WebNLG 2017, WebNLG 2020, DART, EventNarrative, GraphNarrative, TEKGEN","BLEU-N, METEOR, CHRF++, BART-Score, Hallucinated Entities, Missed Entities, Hallucinated Relations, Missed Relations, Grammatical Correctness and Fluency"
Fanar: An Arabic-Centric Multimodal Generative AI Platform,"We present Fanar, a platform for Arabic-centric multimodal generative AI systems, that supports language, speech and image generation tasks. At the heart of Fanar are Fanar Star and Fanar Prime, two highly capable Arabic Large Language Models (LLMs) that are best in the class on well established benchmarks for similar sized models. Fanar Star is a 7B (billion) parameter model that was trained from scratch on nearly 1 trillion clean and deduplicated Arabic, English and Code tokens. Fanar Prime is a 9B parameter model continually trained on the Gemma-2 9B base model on the same 1 trillion token set. Both models are concurrently deployed and designed to address different types of prompts transparently routed through a custom-built orchestrator. The Fanar platform provides many other capabilities including a customized Islamic Retrieval Augmented Generation (RAG) system for handling religious prompts, a Recency RAG for summarizing information about current or recent events that have occurred after the pre-training data cut-off date. The platform provides additional cognitive capabilities including in-house bilingual speech recognition that supports multiple Arabic dialects, voice and image generation that is fine-tuned to better reflect regional characteristics. Finally, Fanar provides an attribution service that can be used to verify the authenticity of fact based generated content. The design, development, and implementation of Fanar was entirely undertaken at Hamad Bin Khalifa University's Qatar Computing Research Institute (QCRI) and was sponsored by Qatar's Ministry of Communications and Information Technology to enable sovereign AI technology development.",2025,arxiv,arxiv,https://arxiv.org/abs/2501.13944,"Fanar Team: Ummar Abbas,  Mohammad Shahmeer Ahmad,  Firoj Alam,  Enes
  Altinisik,  Ehsannedin Asgari,  Yazan Boshmaf,  Sabri Boughorbel,  Sanjay Chawla, 
  Shammur Chowdhury,  Fahim Dalvi,  Kareem Darwish,  Nadir Durrani,  Mohamed
  Elfeky,  Ahmed Elmagarmid,  Mohamed Eltabakh,  Masoomali Fatehkia,  Anastasios
  Fragkopoulos,  Maram Hasanain,  Majd Hawasly,  Mus'ab Husaini,  Soon-Gyo Jung,  Ji
  Kim Lucas,  Walid Magdy,  Safa Messaoud,  Abubakr Mohamed,  Tasnim Mohiuddin, 
  Basel Mousi,  Hamdy Mubarak,  Ahmad Musleh,  Zan Naeem,  Mourad Ouzzani,  Dorde
  Popovic,  Amin Sadeghi,  Husrev Taha Sencar,  Mohammed Shinoy,  Omar Sinan,  Yifan
  Zhang,  Ahmed Ali,  Yassine El Kheir,  Xiaosong Ma,  Chaoyi Ruan",application,A,no,text,final response,"attribution, citation",attribution retrieval-augmented generation,document,multiple,yes,no,post-generation,no,yes,"supervised fine-tuning, reinforcement learning",grounded text generation,no,no
ALoFTRAG: Automatic Local Fine Tuning for Retrieval Augmented Generation,"Retrieval Augmented Generation (RAG) systems have been shown to improve the accuracy of Large Language Model (LLM) outputs. However, these models can often achieve low accuracy when applied to new data domains. We introduce the Automatic Local Fine Tuning of Retrieval Augmented Generation models (ALoFTRAG) framework, designed to improve the accuracy of RAG systems on a given domain by training LLMs without manually labeled data or using larger teacher models. By generating and filtering synthetic training data and performing LoRA fine-tuning, ALoFTRAG improves citation and answer accuracy across 20 datasets in 26 languages by, on average, 8.3% and 3.0% respectively. Our results demonstrate that ALoFTRAG offers a practical, cost-effective, and data-secure solution for improving RAG accuracy, making it particularly applicable to sensitive domains such as healthcare and finance.",2025,arxiv,arxiv,https://arxiv.org/abs/2501.11929,Peter Devine,approach,A,no,text,final response,citation,no,document,single,yes,no,post-retrieval,zero-shot,no,self-supervised fine-tuning,question answering,"ARCD, CalmQA, chaii-1, DRCD, GermanQuAD, JSQuAD, KenSwQuAD, KorQuAD, M2QA, MLQA, NarrativeQA, PersianQA, Pirá, PublicHealth QA, SberQuAD, SK-QuAD, SQAC, TQuad, TyDi, XQuAD","Answer Accuracy GPT, Citation Accuracy Retrieval"
What if you said that differently?: How Explanation Formats Affect Human Feedback Efficacy and User Perception,"Eliciting feedback from end users of NLP models can be beneficial for improving models. However, how should we present model responses to users so they are most amenable to be corrected from user feedback? Further, what properties do users value to understand and trust responses? We answer these questions by analyzing the effect of rationales (or explanations) generated by QA models to support their answers. We specifically consider decomposed QA models that first extract an intermediate rationale based on a context and a question and then use solely this rationale to answer the question. A rationale outlines the approach followed by the model to answer the question. Our work considers various formats of these rationales that vary according to well-defined properties of interest. We sample rationales from language models using few-shot prompting for two datasets, and then perform two user studies. First, we present users with incorrect answers and corresponding rationales in various formats and ask them to provide natural language feedback to revise the rationale. We then measure the effectiveness of this feedback in patching these rationales through in-context learning. The second study evaluates how well different rationale formats enable users to understand and trust model answers, when they are correct. We find that rationale formats significantly affect how easy it is (1) for users to give feedback for rationales, and (2) for models to subsequently execute this feedback. In addition, formats with attributions to the context and in-depth reasoning significantly enhance user-reported understanding and trust of model outputs.",2024,naacl,ACL,https://aclanthology.org/2024.naacl-long.168,"Chaitanya Malaviya, Subin Lee, Dan Roth, Mark Yatskar",evaluation,A,passage,text,intermediate text,"attribution, quote",no,sentence,single,no,no,in-context,few-shot,no,no,question answering,"Quoref, PubMedQA","EM, F1 BoW, Accuracy QA, Edit Accuracy Rationals"
Teaching language models to support answers with verified quotes,"Recent large language models often answer factual questions correctly. But users can't trust any given claim a model makes without fact-checking, because language models can hallucinate convincing nonsense. In this work we use reinforcement learning from human preferences (RLHP) to train ""open-book"" QA models that generate answers whilst also citing specific evidence for their claims, which aids in the appraisal of correctness. Supporting evidence is drawn from multiple documents found via a search engine, or from a single user-provided document. Our 280 billion parameter model, GopherCite, is able to produce answers with high quality supporting evidence and abstain from answering when unsure. We measure the performance of GopherCite by conducting human evaluation of answers to questions in a subset of the NaturalQuestions and ELI5 datasets. The model's response is found to be high-quality 80\% of the time on this Natural Questions subset, and 67\% of the time on the ELI5 subset. Abstaining from the third of questions for which it is most unsure improves performance to 90\% and 80\% respectively, approaching human baselines. However, analysis on the adversarial TruthfulQA dataset shows why citation is only one part of an overall strategy for safety and trustworthiness: not all claims supported by evidence are true.",2022,arxiv,arxiv,https://arxiv.org/abs/2203.11147,"Jacob Menick,  Maja Trebacz,  Vladimir Mikulik,  John Aslanides,  Francis
  Song,  Martin Chadwick,  Mia Glaese,  Susannah Young,  Lucy Campbell-Gillingham, 
  Geoffrey Irving,  Nat McAleese",approach,A,in-line citations,text,final response,"citation, quote",no,"sentence, document",single,no,no,post-retrieval,few-shot,no,"supervised fine-tuning, reinforcement learning",question answering,"NaturalQuestions-filtered, ELI5-filtered","S&P, T&I"
Attributed Question Answering: Evaluation and Modeling for Attributed Large Language Models,"Large language models (LLMs) have shown impressive results while requiring little or no direct supervision. Further, there is mounting evidence that LLMs may have potential in information-seeking scenarios. We believe the ability of an LLM to attribute the text that it generates is likely to be crucial in this setting. We formulate and study Attributed QA as a key first step in the development of attributed LLMs. We propose a reproducible evaluation framework for the task and benchmark a broad set of architectures. We take human annotations as a gold standard and show that a correlated automatic metric is suitable for development. Our experimental work gives concrete answers to two key questions (How to measure attribution?, and How well do current state-of-the-art methods perform on attribution?), and give some hints as to how to address a third (How to build LLMs with attribution?).",2023,arxiv,arxiv,https://arxiv.org/abs/2212.08037,"Bernd Bohnet,  Vinh Q. Tran,  Pat Verga,  Roee Aharoni,  Daniel Andor, 
  Livio Baldini Soares,  Massimiliano Ciaramita,  Jacob Eisenstein,  Kuzman
  Ganchev,  Jonathan Herzig,  Kai Hui,  Tom Kwiatkowski,  Ji Ma,  Jianmo Ni,  Lierni
  Sestorain Saralegui,  Tal Schuster,  William W. Cohen,  Michael Collins, 
  Dipanjan Das,  Donald Metzler,  Slav Petrov,  Kellie Webster","resource, evaluation",A,citation report,text,final response,attribution,attributed question answering,document,single,no,no,"post-retrieval, post-generation",few-shot,no,supervised fine-tuning,question answering,"NaturalQuestions, Attribution Corpus","EM, AIS-paragraph, Auto-AIS-paragraph"
PURR: Efficiently Editing Language Model Hallucinations by Denoising Language Model Corruptions,"The remarkable capabilities of large language models have been accompanied by a persistent drawback: the generation of false and unsubstantiated claims commonly known as ""hallucinations"". To combat this issue, recent research has introduced approaches that involve editing and attributing the outputs of language models, particularly through prompt-based editing. However, the inference cost and speed of using large language models for editing currently bottleneck prompt-based methods. These bottlenecks motivate the training of compact editors, which is challenging due to the scarcity of training data for this purpose. To overcome these challenges, we exploit the power of large language models to introduce corruptions (i.e., noise) into text and subsequently fine-tune compact editors to denoise the corruptions by incorporating relevant evidence. Our methodology is entirely unsupervised and provides us with faux hallucinations for training in any domain. Our Petite Unsupervised Research and Revision model, PURR, not only improves attribution over existing editing methods based on fine-tuning and prompting, but also achieves faster execution times by orders of magnitude.",2023,arxiv,arxiv,https://arxiv.org/abs/2305.14908,"Anthony Chen,  Panupong Pasupat,  Sameer Singh,  Hongrae Lee and Kelvin Guu","approach, resource",A,citation report,text,final response,attribution,editing for attribution,paragraph,multiple,no,no,post-retrieval,"zero-shot, few-shot, chain-of-thought",no,self-supervised fine-tuning,grounded text generation,"NaturalQuestions, StrategyQA, QReCC","Auto-AIS-sentence, Pres-Lev, F1-AP"
HAGRID: A Human-LLM Collaborative Dataset for Generative Information-Seeking with Attribution,"The rise of large language models (LLMs) had a transformative impact on search, ushering in a new era of search engines that are capable of generating search results in natural language text, imbued with citations for supporting sources. Building generative information-seeking models demands openly accessible datasets, which currently remain lacking. In this paper, we introduce a new dataset, HAGRID (Human-in-the-loop Attributable Generative Retrieval for Information-seeking Dataset) for building end-to-end generative information-seeking models that are capable of retrieving candidate quotes and generating attributed explanations. Unlike recent efforts that focus on human evaluation of black-box proprietary search engines, we built our dataset atop the English subset of MIRACL, a publicly available information retrieval dataset. HAGRID is constructed based on human and LLM collaboration. We first automatically collect attributed explanations that follow an in-context citation style using an LLM, i.e. GPT-3.5. Next, we ask human annotators to evaluate the LLM explanations based on two criteria: informativeness and attributability. HAGRID serves as a catalyst for the development of information-seeking models with better attribution capabilities.",2023,arxiv,arxiv,https://arxiv.org/abs/2307.16883,"Ehsan Kamalloo,  Aref Jafari,  Xinyu Zhang,  Nandan Thakur,  Jimmy Lin",resource,A,no,text,no,"attribution, citation, quote",attributable generative retrieval,no,multiple,yes,no,no,no,no,no,question answering,HAGRID,no
"CORE-GPT: Combining Open Access research and large language models for credible, trustworthy question answering","In this paper, we present CORE-GPT, a novel question-answering platform that combines GPT-based language models and more than 32 million full-text open access scientific articles from CORE. We first demonstrate that GPT3.5 and GPT4 cannot be relied upon to provide references or citations for generated text. We then introduce CORE-GPT which delivers evidence-based answers to questions, along with citations and links to the cited papers, greatly increasing the trustworthiness of the answers and reducing the risk of hallucinations. CORE-GPT's performance was evaluated on a dataset of 100 questions covering the top 20 scientific domains in CORE, resulting in 100 answers and links to 500 relevant articles. The quality of the provided answers and and relevance of the links were assessed by two annotators. Our results demonstrate that CORE-GPT can produce comprehensive and trustworthy answers across the majority of scientific domains, complete with links to genuine, relevant scientific articles.",2023,arxiv,arxiv,https://arxiv.org/abs/2307.04683,"David Pride, Matteo Cancellieri and Petr Knoth","evaluation, application",A,citation report,text,final response,citation,trustworthy question answering,document,multiple,no,pure llm,post-retrieval,zero-shot,no,no,question answering,Pride-CORE,"Comprehensiveness-10, Trust-10, Utility-10, Citation-Relevance-10"
"WeaverBird: Empowering Financial Decision-Making with Large Language Model, Knowledge Base, and Search Engine","We present WeaverBird, an intelligent dialogue system designed specifically for the finance domain. Our system harnesses a large language model of GPT architecture that has been tuned using extensive corpora of finance-related text. As a result, our system possesses the capability to understand complex financial queries, such as ""How should I manage my investments during inflation?"", and provide informed responses. Furthermore, our system incorporates a local knowledge base and a search engine to retrieve relevant information. The final responses are conditioned on the search results and include proper citations to the sources, thus enjoying an enhanced credibility. Through a range of finance-related questions, we have demonstrated the superior performance of our system compared to other models. To experience our system firsthand, users can interact with our live demo at https://weaverbird.ttic.edu, as well as watch our 2-min video illustration at https://www.youtube.com/watch?v=yofgeqnlrMc.",2024,arxiv,arxiv,https://arxiv.org/abs/2308.05361,"Siqiao Xue,  Fan Zhou,  Yi Xu,  Ming Jin,  Qingsong Wen,  Hongyan Hao, Qingyang Dai,  Caigao Jiang,  Hongyu Zhao,  Shuo Xie,  Jianshan He,  James Zhang,  Hongyuan Mei",application,A,citation report,text,final response,citation,no,document,multiple,yes,no,post-retrieval,zero-shot,no,supervised fine-tuning,question answering,"Xue-Finance, Xue-Finance-QA, Xue-Finance-QP","MAR, MAP, Response-Quality-100"
What has ChatGPT read? The origins of archaeological citations used by a generative artificial intelligence application,"The public release of ChatGPT has resulted in considerable publicity and has led to wide-spread discussion of the usefulness and capabilities of generative AI language models. Its ability to extract and summarise data from textual sources and present them as human-like contextual responses makes it an eminently suitable tool to answer questions users might ask. This paper tested what archaeological literature appears to have been included in ChatGPT's training phase. While ChatGPT offered seemingly pertinent references, a large percentage proved to be fictitious. Using cloze analysis to make inferences on the sources 'memorised' by a generative AI model, this paper was unable to prove that ChatGPT had access to the full texts of the genuine references. It can be shown that all references provided by ChatGPT that were found to be genuine have also been cited on Wikipedia pages. This strongly indicates that the source base for at least some of the data is found in those pages. The implications of this in relation to data quality are discussed.",2023,arxiv,arxiv,https://arxiv.org/abs/2308.03301,Dirk HR Spennemann,evaluation,A,citation report,text,final response,"citation, quote",no,document,multiple,no,pure llm,no,no,no,no,question answering,no,Citation-Accuracy-4
Source Attribution for Large Language Model-Generated Data,"The impressive performances of Large Language Models (LLMs) and their immense potential for commercialization have given rise to serious concerns over the Intellectual Property (IP) of their training data. In particular, the synthetic texts generated by LLMs may infringe the IP of the data being used to train the LLMs. To this end, it is imperative to be able to perform source attribution by identifying the data provider who contributed to the generation of a synthetic text by an LLM. In this paper, we show that this problem can be tackled by watermarking, i.e., by enabling an LLM to generate synthetic texts with embedded watermarks that contain information about their source(s). We identify the key properties of such watermarking frameworks (e.g., source attribution accuracy, robustness against adversaries), and propose a source attribution framework that satisfies these key properties due to our algorithmic designs. Our framework enables an LLM to learn an accurate mapping from the generated texts to data providers, which sets the foundation for effective source attribution. Extensive empirical evaluations show that our framework achieves effective source attribution.",2024,arxiv,arxiv,https://arxiv.org/abs/2310.00646,"Jingtan Wang,  Xinyang Lu,  Zitong Zhao,  Zhongxiang Dai,  Chuan-Sheng Foo,  See-Kiong Ng,  Bryan Kian Hsiang Low",approach,A,passage,text,final response,attribution,source attribution,sentence,single,no,data-centric,no,no,yes,supervised fine-tuning,grounded text generation,"Clement-ArXiv, BookSum, DBpedia14, CC-News, IMDB62","Source Attribution Accuracy@k, Source Attribution F1, Perplexity, Distinct-N, Coherence-ToT, Natualness-ToT"
When Large Language Models Meet Citation: A Survey,"Citations in scholarly work serve the essential purpose of acknowledging and crediting the original sources of knowledge that have been incorporated or referenced. Depending on their surrounding textual context, these citations are used for different motivations and purposes. Large Language Models (LLMs) could be helpful in capturing these fine-grained citation information via the corresponding textual context, thereby enabling a better understanding towards the literature. Furthermore, these citations also establish connections among scientific papers, providing high-quality inter-document relationships and human-constructed knowledge. Such information could be incorporated into LLMs pre-training and improve the text representation in LLMs. Therefore, in this paper, we offer a preliminary review of the mutually beneficial relationship between LLMs and citation analysis. Specifically, we review the application of LLMs for in-text citation analysis tasks, including citation classification, citation-based summarization, and citation recommendation. We then summarize the research pertinent to leveraging citation linkage knowledge to improve text representations of LLMs via citation prediction, network structure information, and inter-document relationship. We finally provide an overview of these contemporary methods and put forth potential promising avenues in combining LLMs and citation analysis for further investigation.",2023,arxiv,arxiv,https://arxiv.org/abs/2309.09727,"Yang Zhang,  Yufei Wang,  Kai Wang,  Quan Z. Sheng,  Lina Yao,  Adnan Mahmood,  Wei Emma Zhang and Rongying Zhao",survey,A,no,text,no,citation,no,no,no,no,no,no,no,no,no,no,no,no
Towards Reliable and Fluent Large Language Models: Incorporating Feedback Learning Loops in QA Systems,"Large language models (LLMs) have emerged as versatile tools in various daily applications. However, they are fraught with issues that undermine their utility and trustworthiness. These include the incorporation of erroneous references (citation), the generation of hallucinated information (correctness), and the inclusion of superfluous or omission of crucial details (fluency). To ameliorate these concerns, this study makes several key contributions. First, we build a dataset to train a critic model capable of evaluating the citation, correctness, and fluency of responses generated by LLMs in QA systems. Second, we propose an automated feedback mechanism that leverages the critic model to offer real-time feedback on heterogeneous aspects of generated text. Third, we introduce a feedback learning loop that uses this critic model to iteratively improve the performance of the LLM responsible for response generation. Experimental results demonstrate the efficacy of our approach, showing substantial improvements in citation and fluency metrics for ChatGPT, including a 4% precision increase in citation and an approximately 8% enhancement in the MAUVE metric for fluency, while maintaining high levels of correctness.",2023,arxiv,arxiv,https://arxiv.org/abs/2309.06384,"Dongyub Lee,  Taesun Whang,  Chanhee Lee,  Heuiseok Lim","approach, resource",A,in-line citations,text,final response,citation,no,paragraph,multiple,no,no,post-retrieval,zero-shot,no,supervised fine-tuning,question answering,ASQA,"MAUVE, EM Recall, Citation Recall NLI, Citation Precision NLI"
Evaluation of large language models for discovery of gene set function,"Gene set analysis is a mainstay of functional genomics, but it relies on curated databases of gene functions that are incomplete. Here we evaluate five Large Language Models (LLMs) for their ability to discover the common biological functions represented by a gene set, substantiated by supporting rationale, citations and a confidence assessment. Benchmarking against canonical gene sets from the Gene Ontology, GPT-4 confidently recovered the curated name or a more general concept (73% of cases), while benchmarking against random gene sets correctly yielded zero confidence. Gemini-Pro and Mixtral-Instruct showed ability in naming but were falsely confident for random sets, whereas Llama2-70b had poor performance overall. In gene sets derived from 'omics data, GPT-4 identified novel functions not reported by classical functional enrichment (32% of cases), which independent review indicated were largely verifiable and not hallucinations. The ability to rapidly synthesize common gene functions positions LLMs as valuable 'omics assistants.",2024,arxiv,arxiv,https://arxiv.org/abs/2309.04019,"Mengzhou Hu and Sahar Alkhairy,  Ingoo Lee,  Rudolf T. Pillich,  Dylan Fong,  Kevin Smith,  Robin Bachelder,  Trey Ideker,  and Dexter Pratt","application, evaluation",A,citation report,text,final response,citation,no,document,multiple,no,pure llm,no,zero-shot,no,no,gene set function discovery,no,no
A Survey of Large Language Models Attribution,"Open-domain generative systems have gained significant attention in the field of conversational AI (e.g., generative search engines). This paper presents a comprehensive review of the attribution mechanisms employed by these systems, particularly large language models. Though attribution or citation improve the factuality and verifiability, issues like ambiguous knowledge reservoirs, inherent biases, and the drawbacks of excessive attribution can hinder the effectiveness of these systems. The aim of this survey is to provide valuable insights for researchers, aiding in the refinement of attribution methodologies to enhance the reliability and veracity of responses generated by open-domain generative systems. We believe that this field is still in its early stages; hence, we maintain a repository to keep track of ongoing studies at https://github.com/HITsz-TMG/awesome-llm-attributions.",2023,arxiv,arxiv,https://arxiv.org/abs/2311.03731,"Dongfang Li,  Zetian Sun,  Xinshuo Hu,  Zhenyu Liu,  Ziyang Chen,  Baotian Hu,  Aiguo Wu,  Min Zhang",survey,A,no,text,no,"attribution, citation, quote",no,no,no,no,no,no,no,no,no,no,no,no
Benchmarking Large Language Models in Complex Question Answering Attribution using Knowledge Graphs,"The attribution of question answering is to provide citations for supporting generated statements, and has attracted wide research attention. The current methods for automatically evaluating the attribution, which are often based on Large Language Models (LLMs), are still inadequate, particularly in recognizing subtle differences between attributions, and complex relationships between citations and statements. To compare these attribution evaluation methods and develop new ones, we introduce a set of fine-grained categories (i.e., supportive, insufficient, contradictory and irrelevant) for measuring the attribution, and develop a Complex Attributed Question Answering (CAQA) benchmark by leveraging knowledge graphs (KGs) for automatically generating attributions of different categories to question-answer pairs. Our analysis reveals that existing evaluators perform poorly under fine-grained attribution settings and exhibit weaknesses in complex citation-statement reasoning. Our CAQA benchmark, validated with human annotations, emerges as a promising tool for selecting and developing LLM attribution evaluators.",2024,arxiv,arxiv,https://arxiv.org/abs/2401.14640,"Nan Hu,  Jiaoyan Chen,  Yike Wu,  Guilin Qi,  Sheng Bi,  Tongtong Wu and Jeff Z. Pan","resource, evaluation",A,in-line citations,text,final response,"attribution, citation",attributed question answering,document,multiple,no,no,post-retrieval,zero-shot,no,supervised fine-tuning,question answering,CAQA,CAQA F1 NLI
LLM Attributor: Interactive Visual Attribution for LLM Generation,"While large language models (LLMs) have shown remarkable capability to generate convincing text across diverse domains, concerns around its potential risks have highlighted the importance of understanding the rationale behind text generation. We present LLM Attributor, a Python library that provides interactive visualizations for training data attribution of an LLM's text generation. Our library offers a new way to quickly attribute an LLM's text generation to training data points to inspect model behaviors, enhance its trustworthiness, and compare model-generated text with user-provided text. We describe the visual and interactive design of our tool and highlight usage scenarios for LLaMA2 models fine-tuned with two different datasets: online articles about recent disasters and finance-related question-answer pairs. Thanks to LLM Attributor's broad support for computational notebooks, users can easily integrate it into their workflow to interactively visualize attributions of their models. For easier access and extensibility, we open-source LLM Attributor at https://github.com/poloclub/ LLM-Attribution. The video demo is available at https://youtu.be/mIG2MDQKQxM.",2024,arxiv,arxiv,https://arxiv.org/abs/2404.01361,"Seongmin Lee,  Zijie J. Wang,  Aishwarya Chakravarthy,  Alec Helbling,  ShengYun Peng,  Mansi Phute,  Duen Horng Chau,  Minsuk Kahng",application,A,"highlight gradient, citation report",text,final response,attribution,visual attribution,"token, paragraph, document",multiple,no,pure llm,no,no,no,supervised fine-tuning,question answering,"Lee-Disaster-News, Wealth-Alpace-Lora",no
