metric name,metric abbreviation,framework,evaluation method,evaluation dimension,decription,source
Per-Response Citation Accuracy-2,Per-Response Citation Accuracy-2,,human evaluation,citation,Each citation provided in a response was judged as either correct (accurately supporting the associated claim) or incorrect. This measured the factual reliability of individual citations.,https://arxiv.org/abs/2411.02657
Percentage of Responses with All Correct Citations-2,Percentage of Responses with All Correct Citations-2,,human evaluation,citation,"Responses were labeled as correctly cited if all citations in the response were accurate; otherwise, the response was considered to have incomplete or incorrect citations.",https://arxiv.org/abs/2411.02657
Faithfulness-REC,Faithfulness-REC,REC,llm-as-a-judge,correctness,"Assesses whether the generated content accurately reflects the source information, ensuring factual correctness.",https://arxiv.org/abs/2411.02448
Instruction Following-REC,Instruction Following-REC,REC,llm-as-a-judge,relevance,Evaluates how well the generated response adheres to the given instructions or prompts.,https://arxiv.org/abs/2411.02448
Coherence-REC,Coherence-REC,REC,llm-as-a-judge,linguistic,"Measures the logical flow and consistency within the generated text, ensuring it is well-structured and understandable.",https://arxiv.org/abs/2411.02448
Completeness-REC,Completeness-REC,REC,llm-as-a-judge,correctness,"Determines if the generated response fully addresses all aspects of the prompt or question, covering necessary details.",https://arxiv.org/abs/2411.02448
Citation-REC,Citation-REC,REC,llm-as-a-judge,citation,"Evaluates the presence and quality of citations in the generated text, checking if claims are supported by appropriate sources.",https://arxiv.org/abs/2411.02448
BLEU-N,BLEU-N,,lexical overlap,"correctness, attribution",BLEU-1 is a metric that measures the overlap of individual words (unigrams) between a generated text and a reference text. It is commonly used to evaluate how closely a machine-generated response matches a human-written one based on word-level similarity.,https://dl.acm.org/doi/10.3115/1073083.1073135
Roy-Answer Relevance,Roy-Answer Relevance,,llm-as-a-judge,correctness,"GPT-4o scores the relevance of generated answers by comparing them to gold reference answers on a relevance scale (0 for non-relevant, 0.5 for partially relevant, 1 for relevant).",https://arxiv.org/abs/2412.10571
Roy-Attribution Accuracy,Roy-Attribution Accuracy,,inference-based,attribution,Measures whether the evidence used by the model to generate an answer can be causally attributed to the retrieved documents. The focus is not on citation format but on whether the retrieved documents contributed to the answer generation.,https://arxiv.org/abs/2412.10571
Helpful-General,Helpful-General,RAG-RewardBench,llm-as-a-judge,relevance,Assesses the overall helpfulness of the response in addressing the user's query.,https://arxiv.org/abs/2412.13746
Helpful-Reason,Helpful-Reason,RAG-RewardBench,llm-as-a-judge,correctness,Evaluates the logical coherence and reasoning quality within the response.,https://arxiv.org/abs/2412.13746
Helpful-Citation,Helpful-Citation,RAG-RewardBench,llm-as-a-judge,citation,Measures the accuracy and appropriateness of citations provided to support the response.,https://arxiv.org/abs/2412.13746
Helpful-Average,Helpful-Average,RAG-RewardBench,llm-as-a-judge,"relevance, correctness, citation",Average score across the above helpfulness metrics.,https://arxiv.org/abs/2412.13746
Harmless-General,Harmless-General,RAG-RewardBench,llm-as-a-judge,user experience,"Assesses the overall harmlessness of the response, ensuring it does not contain harmful or inappropriate content.",https://arxiv.org/abs/2412.13746
Harmless-Abstain,Harmless-Abstain,RAG-RewardBench,llm-as-a-judge,correctness,"Evaluates the model's ability to abstain from answering when appropriate, particularly when the information is insufficient or uncertain.",https://arxiv.org/abs/2412.13746
Harmless-Conflict,Harmless-Conflict,RAG-RewardBench,llm-as-a-judge,correctness,"Measures the model's robustness in handling conflicting information, ensuring it does not propagate contradictions.",https://arxiv.org/abs/2412.13746
Harmless-Average,Harmless-Average,RAG-RewardBench,llm-as-a-judge,"user experience, correctness",Average score across the above harmlessness metrics.,https://arxiv.org/abs/2412.13746
RAG-RewardBench-Overall,RAG-RewardBench-Overall,RAG-RewardBench,llm-as-a-judge,"relevance, correctness, citation, user experience",Final aggregate score reflecting all other metrics.,https://arxiv.org/abs/2412.13746
Average Normalized Longest Common Subsequence,ANLCS,VisDoMBench,lexical overlap,retrieval,Evidence extraction is assessed using ANLCS between ground truth evidence and retrieved chunks/pages.,https://arxiv.org/abs/2412.10704
Document Identification Rate,Document Identification Rate,VisDoMBench,retrieval-based,retrieval,Computes the proportion of instances in which the correct source document (containing ground-truth evidence) is the majority contributor to the retrieved context. This tests whether retrieval selects relevant documents in a multi-document setup.,https://arxiv.org/abs/2412.10704
Word Overlap F1,Word Overlap F1,VisDoMBench,lexical overlap,correctness,"For PaperTab,the modified implementation of Word Overlap F1 from (Hui et al., 2024), which takes into account different answer types (binary, short text) is used. For all other datasets, the Word Overlap F1, which serves as a flexible metric to evaluate different answer types is used.",https://arxiv.org/abs/2412.10704
Token-Level Recall,Token-Level Recall,,retrieval-based,attribution,Measures the proportion of source tokens correctly identified by the model out of all tokens that should have been attributed.,https://aclanthology.org/2024.findings-acl.682/
Token-Level Precision,Token-Level Precision,,retrieval-based,attribution,Measures the proportion of tokens the model attributed to a source that are actually correct according to ground truth.,https://aclanthology.org/2024.findings-acl.682/
Token-Level F1,Token-Level F1,,retrieval-based,attribution,"The harmonic mean of token-level precision and recall, balancing accuracy and completeness in attribution.",https://aclanthology.org/2024.findings-acl.682/
Span-Level Accuracy,Span-Level Accuracy,,retrieval-based,attribution,"Measures the percentage of predicted spans that exactly match the ground truth spans, assessing correctness at the span level.",https://aclanthology.org/2024.findings-acl.682/
